Sentence	Top-1 Similar	Top-2 Similar	Top-3 Similar	Top-4 Similar	Top-5 Similar	Top-1 Similarity	Top-2 Similarity	Top-3 Similarity	Top-4 Similarity	Top-5 Similarity
im westen allerdings nimmt die bewölkung später zu und es beginnt zu regnen	im südwesten ist es zunächst noch freundlich sonst regnet es morgen ab und an	am wochenende scheint meist die sonne und es wird noch wärmer	am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken	am freitag ist es in der nähe der küsten und ganz im süden teilweise stark bewölkt	vor allem über dem bergland können sich im tagesverlauf stellenweise quellwolken bilden und im südwesten muss mit vereinzelten hitzegewittern gerechnet werden	0.8592778	0.8552838	0.8552228	0.8533234	0.852582
in den bergen anfangs ist auch schnee dabei	da haben wir am morgen schnee und schneeregen	regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar	ganz im norden fällt hier und da schnee	auch ein paar schneeflocken sind dabei	in der nacht schneit es ab und zu leicht an den küsten sowie anfangs auch in tiefen lagen ist regen mit dabei	0.8865248	0.87769973	0.8776187	0.87081236	0.8656721
sonst zieht das regengebiet nach osten	da ist der boden noch gefroren am rhein wie gesagt da entspannt sich die lage bei plusgraden	in der nacht werden die wolken im norden und nordosten dichter erste tropfen können an der ostsee fallen	auch am tag viele wolken und einzelne flocken	die kommende nacht teilweise nicht unter zwanzig grad in einigen städten	das hoch über skandinavien verlagert sich ein wenig nach osten	0.8816346	0.86581117	0.8622708	0.860457	0.85914487
am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken	mehr wolken als sonne gibt es im norden und osten tropfen fallen nur vereinzelt	am donnerstag regnet es vor allem im süden und osten mancherorts	im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig	0.908533	0.90667546	0.9054073	0.90299606	0.90242946
jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	ich wünsche ihnen noch einen schönen abend	ich wünsche ihnen einen schönen abend und machen sie es gut	ich wünsche ihnen einen schönen abend und machen sie es gut	0.9999997	0.9999997	0.97170234	0.92101306	0.92101306
es bläst ein mäßiger im norden mitunter frischer an der küste auch starker wind aus südwest bis west	morgen schwacher bis mäßiger an der see frischer wind aus südwest bis west	das hoch lenkt schwül heiße luft in den südosten das tief nur mäßig warme meeresluft in den nordwesten	dazu weht ein starker wind vor allen dingen wieder über vorpommern aus südost	im norden weht der wind schwach bis mäßig aus west bis südwest sonst schwacher wind aus unterschiedlichen richtungen	schwacher bis mäßiger im norden zum teil frischer südost bis ostwind der im südwesten später auf südwest dreht an den küsten bläst er stark mit stürmischen böen	0.92163175	0.89935184	0.8937057	0.8865847	0.88447636
im norden sind auch stürmische böen möglich	am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	am tag dichte wolken aber auch lücken dazu einige schauer an den nordwestseiten der gebirge kann es auch längere zeit regnen oder schneien	in den bergen anfangs ist auch schnee dabei	mit stürmischen böen muss heute nacht vor allem im norden am tag im nordwesten gerechnet werden	0.86941653	0.86772054	0.86278915	0.86247873	0.8573505
dort morgen bis zweiundzwanzig grad	im erzgebirge morgen dreizehn sonst fünfzehn bis zweiundzwanzig grad	im norden und westen morgen zwanzig bis dreiundzwanzig sonst sommerliche fünfundzwanzig bis neunundzwanzig grad	heute nacht schwül warme dreizehn bis achtzehn grad	heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad	an der nordsee morgen fünfzehn am hochrhein immerhin bis dreiundzwanzig grad	0.9495932	0.9294492	0.9268869	0.9247944	0.92429185
an der nordsee nur kühle sechzehn grad	am hochrhein morgen schwül warme dreißig an der nordsee frische achtzehn grad	in küstennähe morgen kühle fünfzehn bis sechzehn entlang des rheins dreiundzwanzig bis sechsundzwanzig grad	an der küste morgen kühle neun grad im breisgau bis achtzehn grad	an der nordsee morgen fünfzehn am hochrhein immerhin bis dreiundzwanzig grad	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	0.9413401	0.93731743	0.9303611	0.9282835	0.9241088
am sonntag im norden noch wolkig und vor allem in küstennähe einzelne schauer	sonst viel sonne ein paar lockere wolken im nordwesten fallen am nachmittag einzelne schauer	am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer	in der nordwesthälfte morgen mal sonne mal wolken und immer wieder zum teil kräftige am nachmittag auch gewittrige schauer	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer	0.9379428	0.9326013	0.9220224	0.909176	0.90822804
sonst viel sonnenschein	sonst ein wechsel aus sonne und wolken	sonst meist nur lockere wolken	sonst einzelne schauer an der nordsee auch gewitter	und so erwartet uns eine mischung aus teilweise zähen nebelfeldern wolken und sonnenschein	in der südwesthälfte morgen teils wolken teils längere zeit sonnenschein	0.8794798	0.8671171	0.86067563	0.8558447	0.8464529
am dienstag ziehen dann gegen abend von westen wieder zum teil kräftige schauer und gewitter heran	am sonntag ziehen von nordwesten wieder schauer und gewitter heran	später ziehen dort auch wolken mit etwas regen auf	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	wenn der verschwunden ist zeigt sich morgen im süden die sonne während sich die wolken weiter richtung donau ausbreiten und dabei immer größere lücken bekommen	0.9447739	0.89610666	0.8811733	0.88062966	0.88048804
ganz anders die trockene hitze über russland mit fünfunddreißig bis vierzig grad	östlich also über osteuropa noch hochsommerlich warm mit um die fünfundzwanzig grad	an der nordsee morgen fünfzehn am hochrhein immerhin bis dreiundzwanzig grad	im erzgebirge morgen dreizehn sonst fünfzehn bis zweiundzwanzig grad	im norden und westen morgen zwanzig bis dreiundzwanzig sonst sommerliche fünfundzwanzig bis neunundzwanzig grad	milder bleibt es unter den regenwolken im osten mit fünfzehn sechzehn grad	0.91450936	0.91243607	0.9085871	0.90572304	0.9000221
das bleibt auch noch in dieser woche so so dass die brände weiter schwelen werden	und die kälteste ecke wird der gesamte südosten bleiben	und das wird auch am wochenende nicht passieren	in den nächsten tagen wird das dann nicht mehr der fall sein dann wird es insgesamt ein bisschen kühler vor allen dingen zum wochenende hin	und so warm mit zwanzig grad wird es nicht mehr in den nächsten tagen	mal ist es etwas wärmer mal etwas kälter und an dieser wetterverteilung wird sich auch in den nächsten tagen wenig ändern	0.85028297	0.83737195	0.83174723	0.82563835	0.8200715
bei uns wird es richtig frisch heute nacht im südosten da sind es zehn elf grad etwa	der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad	heute nacht zwölf grad in der kölner bucht ein grad in brandenburg	morgen bei dauernebel im süden nur zwei am niederrhein bis elf grad	an der nordsee morgen fünfzehn am hochrhein immerhin bis dreiundzwanzig grad	nordöstlich der elbe halten sich heute nacht noch viele wolken die anfangs auch noch ein paar tropfen bringen	0.89516336	0.8793662	0.8774629	0.87644887	0.8731242
und nun die wettervorhersage für morgen donnerstag den siebzehnten dezember	und nun die wettervorhersage für morgen sonntag den neunzehnten dezember	und nun die wettervorhersage für morgen donnerstag den dritten dezember	und nun die wettervorhersage für morgen mittwoch den dreißigsten märz	und nun die wettervorhersage für morgen sonntag den fünften dezember	und nun die wettervorhersage für morgen montag den achtzehnten april	0.9880792	0.980837	0.9688423	0.9668716	0.96546847
auch am tag viele wolken und einzelne flocken	im osten und süden am dienstag einzelne schauer dabei bis in mittlere lagen schnee sonst teils nebel teils wolken oder sonne	am freitag insgesamt viele wolken die regen bringen	unter wolken heute nacht frostfreie zwei bis acht grad	sonst ein wechsel aus sonne und wolken	in der nacht werden die wolken im norden und nordosten dichter erste tropfen können an der ostsee fallen	0.8807582	0.8806908	0.879262	0.8763216	0.8749739
im norden sowie ganz im westen schneit es auch mal stärker und es kann glatt werden	besonders im osten deutschlands kann es ein wenig regnen oder schneien	in der nacht schneit es ab und zu leicht an den küsten sowie anfangs auch in tiefen lagen ist regen mit dabei	am freitag schneit es im westen und süden ab und an in tiefen lagen im westen auch regen	am tag dichte wolken aber auch lücken dazu einige schauer an den nordwestseiten der gebirge kann es auch längere zeit regnen oder schneien	in den niederungen ist es teilweise länger neblig wenige kilometer daneben sonne auf den bergen ist es durchweg sonnig	0.9067231	0.8933036	0.88863134	0.88435274	0.88371015
in der mitte lockert es auch mal auf	ab und zu kann sich die sonne zeigen	auch im westen gibt es später wolkenlücken	ganz im süden sind einzelne schauer möglich	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	im westen ist es freundlich	0.86967266	0.86272794	0.8600081	0.855002	0.8540876
die temperaturen sind außer jetzt im regen wo es ein bisschen kühler bleibt doch ganz erfreulich	denn im süden haben wir die schwül warme gewitterluft dabei ist es aber noch im süden sonnig	ja der donnerstag wird fast noch schöner noch ein bisschen wärmer	am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich	aber es bleibt für die jahreszeit immer noch recht mild	0.8959331	0.8798899	0.8741524	0.86975205	0.8647204
zusammen mit der schwül heißen luft sorgt es für zum teil heftige gewitter	in der osthälfte und im süden gibt es heute nacht kräftige regenfälle und zum teil heftige gewitter	nachmittags bilden sich hier in bayern kräftige gewitter	auch am wochenende sorgt es für viel sonnenschein bei weiter steigenden temperaturen	im süden entladen sich später hier und da heftige gewitter	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	0.8912319	0.86959046	0.86650515	0.86372393	0.85699743
der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben	der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben	der deutsche wetterdienst hat entsprechende warnungen herausgegeben	die hochwassergefahr steigt wieder es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes	es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes	es gelten entsprechende warnungen des deutschen wetterdienstes	0.9999998	0.8864278	0.86580247	0.85458976	0.80316
morgen vormittag bleibt von dem ganzen starken regen noch hier im osten einige gewitter hängen in brandenburg starker regen in vorpommern und an der ostsee	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	am tag im osten viel sonne in der westhälfte regnet es zwischen niederrhein und ostfriesland	0.89357054	0.89348054	0.8926062	0.8905697	0.8895226
und so warm mit zwanzig grad wird es nicht mehr in den nächsten tagen	der sternenklare himmel im westen der täuscht denn morgen wird es wieder regnen	und die kälteste ecke wird der gesamte südosten bleiben	in den nächsten tagen wird das dann nicht mehr der fall sein dann wird es insgesamt ein bisschen kühler vor allen dingen zum wochenende hin	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	es wird morgen ein ziemlich trüber tag bei uns in deutschland	0.88387316	0.87181365	0.8612885	0.85764545	0.8557643
denn im süden haben wir die schwül warme gewitterluft dabei ist es aber noch im süden sonnig	am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	am sonntag im norden und in der mitte schauer dabei ist es im norden stürmisch	die temperaturen sind außer jetzt im regen wo es ein bisschen kühler bleibt doch ganz erfreulich	im süden gibt es zu beginn der nacht noch wolken die hier und da auch noch ein paar tropfen fallen lassen sonst ist es meist klar oder nur locker bewölkt	sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	0.9094757	0.8966228	0.8959331	0.89180005	0.8914037
